"Reference","Value","DIGIKEY PN","JLCPCB PN"
"AE1","0479480001","WM4893CT-ND","C3285490"
"C1,C3,C12,C15","100nF","1276-1001-1-ND","C1525"
"C2,C4,C11","10nF","1276-1028-1-ND","C15195"
"C5,C16","220nF","1276-1176-1-ND","C16772"
"C10","0R0","311-0.0JRCT-ND","C17168"
"C13,C14","10uF","1276-1192-1-ND","C19702"
"D1","YELLOW","1516-QBLP595-IW5CT-ND","C2290"
"L1","15uH","445-6397-1-ND","C5344252"
"L3","4.3nH","712-LRC0402CS4N3GV001TCT-ND",""
"L4","1uH","445-16416-1-ND","C2042117"
"R1,R7","10K","311-10KJRCT-ND","C25744"
"R2,R3","10R0","311-10.0LRCT-ND","C25077"
"R4","220R","2037-PFR05S-221-FNHCT-ND","C25091"
"R5","200K","P200KLCT-ND","C25764"
"R6","44K2","YAG3163CT-ND","C11565"
"S1","KMR221GLFS","108-KMR221GLFSCT-ND","C72443"
"U1","SX1280IMLTRT","SX1280IMLTRTCT-ND","C125969"
"U2","ESP32-C3-MINI-1-N4","5407-ESP32-C3-MINI-1-N4CT-ND","C2838502"
"U3","AP61100Z6-7","31-AP61100Z6-7CT-ND","C1858397"
"Y1","52.0 MHz","644-CS06016-52MCT-ND","C3034316"
